MovieID,Title,Year,Genres,Language,Country,Total Views
1,Toy Story,1995,ANIMATION|CHILDREN'S|COMEDY,German,Italy,69118
2,Jumanji,1995,ADVENTURE|CHILDREN'S|FANTASY,Spanish,UK,1661
3,Grumpier Old Men,1995,COMEDY|ROMANCE,English,India,22205
4,Waiting to Exhale,1995,COMEDY|DRAMA,Spanish,India,84783
5,Father of the Bride Part II,1995,COMEDY,German,India,61291
6,Heat,1995,ACTION|CRIME|THRILLER,English,Canada,40658
7,Sabrina,1995,COMEDY|ROMANCE,German,France,63623
8,Tom and Huck,1995,ADVENTURE|CHILDREN'S,French,India,50355
9,Sudden Death,1995,ACTION,Spanish,UK,3943
10,GoldenEye,1995,ACTION|ADVENTURE|THRILLER,Spanish,Canada,74950
11,"American President, The",1995,COMEDY|DRAMA|ROMANCE,French,France,79317
12,Dracula: Dead and Loving It,1995,COMEDY|HORROR,German,France,59858
13,Balto,1995,ANIMATION|CHILDREN'S,Italian,UK,39370
14,Nixon,1995,DRAMA,Spanish,UK,98502
15,Cutthroat Island,1995,ACTION|ADVENTURE|ROMANCE,Spanish,India,41754
16,Casino,1995,DRAMA|THRILLER,German,France,4961
17,Sense and Sensibility,1995,DRAMA|ROMANCE,Italian,France,91178
18,Four Rooms,1995,THRILLER,German,Canada,15056
19,Ace Ventura: When Nature Calls,1995,COMEDY,Spanish,USA,58261
20,Money Train,1995,ACTION,German,UK,13604
21,Get Shorty,1995,ACTION|COMEDY|DRAMA,German,India,90108
22,Copycat,1995,CRIME|DRAMA|THRILLER,Italian,France,37070
23,Assassins,1995,THRILLER,English,Italy,25385
24,Powder,1995,DRAMA|SCI-FI,French,USA,11556
25,Leaving Las Vegas,1995,DRAMA|ROMANCE,French,Italy,3607
26,Othello,1995,DRAMA,Italian,Italy,33580
27,Now and Then,1995,DRAMA,Spanish,India,95762
28,Persuasion,1995,ROMANCE,English,Canada,66047
29,"City of Lost Children, The",1995,ADVENTURE|SCI-FI,Italian,India,20596
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,DRAMA,English,France,10068
31,Dangerous Minds,1995,DRAMA,Spanish,Italy,8564
